,cell_id,expt_date,layer_name,cell_type,recorder_name,full_path,abf_version,num_sweeps,resp_chan,resp_gain,resp_offset,resp_sampling_rate,rmp_error,rmp_val,stim_amp_vec,stim_chan,stim_duration,stim_end_time,stim_gain,stim_name,stim_path,stim_sampling_rate,stim_start_time,valid_stim
0,13n05011.abf,2013-11-05,L5,Pyr,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13n05011.abf,1.8.3.0,15,0,20.0,0.0,10000,0.15868879684729364,-54.937741531222294,[-400. -350. -300. ...  200.  250.  300.],0,0.6,0.7321000000000001,1000.0,sweepC,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13n05011.abf,10000,0.1322,True
1,13n21007.abf,2013-11-21,L5,Pyr,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13n21007.abf,1.8.3.0,15,0,50.0,0.0,10000,3.6773653541930003,-59.158322385443,[-400. -350. -300. ...  200.  250.  300.],0,0.6,0.7321000000000001,1000.0,sweepC,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13n21007.abf,10000,0.1322,True
2,13d02004.abf,2013-12-02,L5,Pyr,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13d02004.abf,1.8.3.0,15,0,20.0,0.0,10000,2.288815553709,-59.069821413084,[-400. -350. -300. ...  200.  250.  300.],0,0.6,0.7647,1000.0,sweepC,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13d02004.abf,10000,0.1648,True
3,13d02022.abf,2013-12-02,L5,Pyr,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13d02022.abf,1.8.3.0,15,0,20.0,0.0,10000,1.04980162730061,-64.42870787730061,[-400. -350. -300. ...  200.  250.  300.],0,0.6,0.7647,1000.0,sweepC,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13d02022.abf,10000,0.1648,True
4,13d02049.abf,2013-12-02,L5,Pyr,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13d02049.abf,1.8.3.0,15,0,20.0,0.0,10000,1.7890625,-57.0,[-400. -350. -300. ...  200.  250.  300.],0,0.6,0.7647,1000.0,sweepC,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13d02049.abf,10000,0.1648,True
5,13d03005.abf,2013-12-03,L5,Pyr,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13d03005.abf,1.8.3.0,15,0,20.0,0.0,10000,2.984616114343993,-63.71459658309399,[-400. -350. -300. ...  200.  250.  300.],0,0.6,0.7647,1000.0,sweepC,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13d03005.abf,10000,0.1648,True
6,13d03007.abf,2013-12-03,L5,Pyr,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13d03007.abf,1.8.3.0,15,0,20.0,0.0,10000,3.710934818121899,-56.4636203649969,[-400. -350. -300. ...  200.  250.  300.],0,0.6,0.7647,1000.0,sweepC,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13d03007.abf,10000,0.1648,True
7,13d03008.abf,2013-12-03,L5,Pyr,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13d03008.abf,1.8.3.0,15,0,20.0,0.0,10000,3.802487416823098,-59.3200655418231,[-400. -350. -300. ...  200.  250.  300.],0,0.6,0.7647,1000.0,sweepC,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13d03008.abf,10000,0.1648,True
8,13d03029.abf,2013-12-03,L5,Pyr,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13d03029.abf,1.8.3.0,15,0,20.0,0.0,10000,3.710934818121899,-56.4636203649969,[-400. -350. -300. ...  200.  250.  300.],0,0.6,0.7647,1000.0,sweepC,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13d03029.abf,10000,0.1648,True
9,13d03040.abf,2013-12-03,L5,Pyr,Homeira,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13d03040.abf,1.8.3.0,15,0,20.0,0.0,10000,1.23046875,-60.0,[-400. -350. -300. ...  200.  250.  300.],0,0.6,0.7647,1000.0,sweepC,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Homeira/Total5Homeira-Last-Version - without 2020 Data/13d03040.abf,10000,0.1648,True
